latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
27.95755,96.95478,334.77,0.44,0.38,2026-09-05,637,N,VIIRS,n,2.0NRT,285.13,5.26,D
27.95821,96.95849,328.12,0.44,0.38,2026-09-05,637,N,VIIRS,n,2.0NRT,284.71,5.26,D
8.01719,81.42326,343.16,0.42,0.37,2026-09-05,813,N,VIIRS,n,2.0NRT,304.06,5.04,D
8.02176,81.43032,335.27,0.42,0.37,2026-09-05,813,N,VIIRS,n,2.0NRT,303.12,2.79,D
8.02232,81.4341,335.75,0.42,0.37,2026-09-05,813,N,VIIRS,n,2.0NRT,301.67,2.79,D
8.02516,81.16928,344.87,0.41,0.37,2026-09-05,813,N,VIIRS,n,2.0NRT,306.14,7.9,D
8.02535,80.63208,335.73,0.4,0.37,2026-09-05,813,N,VIIRS,n,2.0NRT,304.09,4.24,D
8.02858,81.16877,348.57,0.41,0.37,2026-09-05,813,N,VIIRS,n,2.0NRT,304.24,7.9,D
8.02988,81.41364,338.73,0.42,0.37,2026-09-05,813,N,VIIRS,n,2.0NRT,303.45,3.89,D
8.0395,80.61161,348.35,0.4,0.37,2026-09-05,813,N,VIIRS,n,2.0NRT,302.2,8.79,D
8.05222,80.25206,340.8,0.39,0.36,2026-09-05,813,N,VIIRS,n,2.0NRT,303.25,5.49,D
8.05383,80.10401,344.98,0.39,0.36,2026-09-05,813,N,VIIRS,n,2.0NRT,302.11,7.27,D
8.05503,80.24802,338.37,0.39,0.36,2026-09-05,813,N,VIIRS,n,2.0NRT,303.99,3.89,D
8.05838,80.6455,332.93,0.4,0.37,2026-09-05,813,N,VIIRS,n,2.0NRT,297.02,2,D
8.05978,79.87353,343.64,0.39,0.36,2026-09-05,813,N,VIIRS,n,2.0NRT,300.6,4.55,D
8.08628,81.38984,337.45,0.42,0.37,2026-09-05,813,N,VIIRS,n,2.0NRT,301.1,3.25,D
8.08633,81.36668,336.74,0.42,0.37,2026-09-05,813,N,VIIRS,n,2.0NRT,299.72,5.79,D
8.08893,81.36685,339.77,0.42,0.37,2026-09-05,813,N,VIIRS,n,2.0NRT,298.07,5.64,D
8.09138,79.92904,344.56,0.39,0.36,2026-09-05,813,N,VIIRS,n,2.0NRT,301.53,14.3,D
8.10234,81.10136,332.41,0.41,0.37,2026-09-05,813,N,VIIRS,l,2.0NRT,303.58,2.29,D
8.11574,80.15222,338.84,0.39,0.36,2026-09-05,813,N,VIIRS,n,2.0NRT,301.11,4.77,D
8.12158,80.80904,340,0.4,0.37,2026-09-05,813,N,VIIRS,n,2.0NRT,304.96,7.76,D
8.12212,80.81266,356.8,0.4,0.37,2026-09-05,813,N,VIIRS,n,2.0NRT,306.15,7.76,D
8.12266,80.8163,338.16,0.4,0.37,2026-09-05,813,N,VIIRS,n,2.0NRT,303.51,6.85,D
8.12496,80.80852,340.1,0.4,0.37,2026-09-05,813,N,VIIRS,n,2.0NRT,302.17,5.69,D
8.1255,80.81214,352.75,0.4,0.37,2026-09-05,813,N,VIIRS,n,2.0NRT,302.29,5.69,D
8.12604,80.81579,337.75,0.4,0.37,2026-09-05,813,N,VIIRS,n,2.0NRT,300.59,4.16,D
8.12778,80.54986,333.36,0.4,0.37,2026-09-05,813,N,VIIRS,n,2.0NRT,298.87,2.47,D
